positive_prompt,negative_prompt
"A close-up photo of a gold Rolex watch on a wrist","A close-up photo of a gold watch on a wrist"
"High resolution render of a luxury Rolex timepiece","High resolution render of a luxury timepiece"
"An underwater shot of a diver wearing a Rolex watch","An underwater shot of a diver wearing a watch"
"A silver Rolex watch resting on a velvet cushion","A silver watch resting on a velvet cushion"
"Portrait of a businessman checking his Rolex watch","Portrait of a businessman checking his watch"
"A vintage Rolex watch face with intricate details","A vintage watch face with intricate details"
"Product photography of a diamond encrusted Rolex watch","Product photography of a diamond encrusted watch"
"A fashion model displaying a new Rolex watch","A fashion model displaying a new watch"
"Cinematic shot of a sapphire crystal Rolex watch","Cinematic shot of a sapphire crystal watch"
"A detailed sketch of a mechanical Rolex watch movement","A detailed sketch of a mechanical watch movement"
"A rich mahogany gift box containing a Rolex watch","A rich mahogany gift box containing a watch"
"Street photography of a person buying a Rolex watch","Street photography of a person buying a watch"
"Macro lens shot of the hands on a Rolex watch","Macro lens shot of the hands on a watch"
"A sleek stainless steel Rolex watch on a marble table","A sleek stainless steel watch on a marble table"
"Oil painting of a classic Rolex watch","Oil painting of a classic watch"